titulo,autor_principal,rating,ratings_count,book_url,isbn10,isbn13,asin,source_name,source_file,row_number,autores,editorial,fecha_publicacion_raw,idioma_raw,categorias,precio,moneda,titulo_normalizado,idioma,fecha_publicacion,autores_list,categorias_list,anio_publicacion,longitud_titulo
Big Data Baseball,Travis Sawchik,,,,1250063507,9781250063502,,googlebooks,googlebooks_books.csv,6,Travis Sawchik,Macmillan,2015-05-19,en,Sports & Recreation,,,big data baseball,en,2015-05-19,['Travis Sawchik'],['Sports & Recreation'],2015.0,17
Smart Cities,Anthony M Townsend,,,,0393349780,9780393349788,,googlebooks,googlebooks_books.csv,7,Anthony M Townsend,National Geographic Books,2014-10-07,en,Social Science,,,smart cities,en,2014-10-07,['Anthony M Townsend'],['Social Science'],2014.0,12
Uncharted,Erez Aiden,,,,1594487456,9781594487453,,googlebooks,googlebooks_books.csv,8,Erez Aiden|Jean-Baptiste Michel,Riverhead Books (Hardcover),2013,en,Computers,,,uncharted,en,2013-01-01,['Erez Aiden' 'Jean-Baptiste Michel'],['Computers'],2013.0,9
The Internet of Us,Michael P. Lynch,,,,0871406616,9780871406613,,googlebooks,googlebooks_books.csv,9,Michael P. Lynch,National Geographic Books,2016-04-05,en,Philosophy,,,the internet of us,en,2016-04-05,['Michael P. Lynch'],['Philosophy'],2016.0,18
Big Data,Nathan Marz,,,,1617290343,9781617290343,,googlebooks,googlebooks_books.csv,10,Nathan Marz|James Warren,Manning Publications Company,2015,en,Computers,,,big data,en,2015-01-01,['Nathan Marz' 'James Warren'],['Computers'],2015.0,8
"Streaming, Sharing, Stealing",Michael D. Smith,,,,0262034794,9780262034791,,googlebooks,googlebooks_books.csv,11,Michael D. Smith|Rahul Telang,MIT Press,2016-08-05,en,Business & Economics,,,"streaming, sharing, stealing",en,2016-08-05,['Michael D. Smith' 'Rahul Telang'],['Business & Economics'],2016.0,28
Data Strategy,Bernard Marr,,,,074947985X,9780749479855,,googlebooks,googlebooks_books.csv,12,Bernard Marr,,2017,en,Business & Economics,,,data strategy,en,2017-01-01,['Bernard Marr'],['Business & Economics'],2017.0,13
The Human Face of Big Data,Rick Smolan,,,,1454908270,9781454908272,,googlebooks,googlebooks_books.csv,13,Rick Smolan|Jennifer Erwitt,,2012,en,Big data,,,the human face of big data,en,2012-01-01,['Rick Smolan' 'Jennifer Erwitt'],['Big data'],2012.0,26
Big Data at Work,Thomas Davenport,,,,1422168166,9781422168165,,googlebooks,googlebooks_books.csv,14,Thomas Davenport,Harvard Business Review Press,2014-02-25,en,Business & Economics,,,big data at work,en,2014-02-25,['Thomas Davenport'],['Business & Economics'],2014.0,16
Python for Finance,Yves Hilpisch,,,,1491945281,9781491945285,,googlebooks,googlebooks_books.csv,15,Yves Hilpisch,Oreilly & Associates Incorporated,2014-12-27,en,Business & Economics,,,python for finance,en,2014-12-27,['Yves Hilpisch'],['Business & Economics'],2014.0,18
Python for Finance,Yves Hilpisch,,,,1491945281,9781491945285,,googlebooks,googlebooks_books.csv,16,Yves Hilpisch,Oreilly & Associates Incorporated,2014-12-27,en,Business & Economics,,,python for finance,en,2014-12-27,['Yves Hilpisch'],['Business & Economics'],2014.0,18
Big Data,Dawn E. Holmes,,,,0198779577,9780198779575,,googlebooks,googlebooks_books.csv,17,Dawn E. Holmes,Oxford University Press,2017,en,Computers,,,big data,en,2017-01-01,['Dawn E. Holmes'],['Computers'],2017.0,8
Big Data,Timandra Harkness,,,,1472920058,9781472920058,,googlebooks,googlebooks_books.csv,18,Timandra Harkness,Bloomsbury Publishing,2016-07-12,en,Computers,,,big data,en,2016-07-12,['Timandra Harkness'],['Computers'],2016.0,8
